NAME,NAT_TEAM,CLUB,LEAGUE,POS,ROLE,AGE_GR,AGE_EX,MATCHES,GOALS,ASSISTS,Y-CARDS,R-CARDS,MINUTES,N-CAPS,N-GOALS
Essam El-Hadary,Egypt,Al-Taawoun,Saudi Arabia,GK,Goalkeeper,36+,45,1,0,0,0,0,90,158,0
Ali Gabr,Egypt,West Bromwich Albion,England,DF,Centre-Back,26-30,29,3,0,0,1,0,270,21,1
Ahmed Elmohamady,Egypt,Aston Villa,England,DF,Right-Back,26-30,30,0,0,0,0,0,0,78,2
Omar Gaber,Egypt,Los Angeles FC,United States,DF,Right-Back,26-30,26,0,0,0,0,0,0,24,0
Sam Morsy,Egypt,Wigan Athletic,England,MF,Central Midfield,26-30,26,1,0,0,1,0,40,5,0
Ahmed Hegazi,Egypt,West Bromwich Albion,England,DF,Centre-Back,26-30,27,3,0,0,1,0,270,45,1
Ahmed Fathy,Egypt,El Ahly Cairo,Egypt,DF,Right-Back,31-35,33,3,0,0,1,0,270,126,3
Tarek Hamed,Egypt,Zamalek SC,Egypt,MF,Defensive Midfield,26-30,29,3,0,0,0,0,230,21,0
Marwan Mohsen,Egypt,El Ahly Cairo,Egypt,FW,Centre-Forward,26-30,29,3,0,0,0,0,209,24,4
Mohamed Salah,Egypt,Liverpool FC,England,FW,Right Winger,26-30,26,2,2,0,0,0,180,57,33
Kahraba,Egypt,Al-Ittihad,Saudi Arabia,FW,Left Winger,21-25,24,3,0,0,0,0,44,19,3
Ayman Ashraf,Egypt,El Ahly Cairo,Egypt,DF,Centre-Back,26-30,27,0,0,0,0,0,0,4,0
Mohamed Abdel-Shafy,Egypt,Al-Fateh,Saudi Arabia,DF,Left-Back,31-35,33,3,0,0,0,0,270,51,1
Ramadan Sobhi,Egypt,Stoke City,England,FW,Left Winger,21-25,21,3,0,0,0,0,56,23,1
Mahmoud Hamdy,Egypt,Zamalek SC,Egypt,DF,Centre-Back,21-25,23,0,0,0,0,0,0,0,0
Sherif Ekramy,Egypt,El Ahly Cairo,Egypt,GK,Goalkeeper,31-35,34,0,0,0,0,0,0,22,0
Mohamed Elneny,Egypt,Arsenal FC,England,MF,Defensive Midfield,21-25,25,3,0,0,0,0,244,61,5
Shikabala,Egypt,Al-Raed,Saudi Arabia,FW,Right Winger,31-35,32,0,0,0,0,0,0,29,2
Abdallah Said,Egypt,KuPS,Finland,MF,Attacking Midfield,31-35,32,3,0,1,0,0,225,36,6
Saad Samir,Egypt,El Ahly Cairo,Egypt,DF,Centre-Back,26-30,29,0,0,0,0,0,0,11,0
Trezeguet,Egypt,Kasimpasa,Turkey,FW,Left Winger,21-25,23,3,0,0,1,0,239,24,2
Amr Warda,Egypt,Atromitos Athens,Greece,FW,Left Winger,21-25,24,3,0,0,0,0,153,16,0
Mohamed El-Shenawy,Egypt,El Ahly Cairo,Egypt,GK,Goalkeeper,26-30,29,2,0,0,0,0,180,3,0
Igor Akinfeev,Russia,CSKA Moscow,Russia,GK,Goalkeeper,31-35,32,5,0,0,0,0,510,106,0
Mario Fernandes,Russia,CSKA Moscow,Russia,DF,Right-Back,26-30,27,5,1,1,0,0,472,5,0
Ilya Kutepov,Russia,Spartak Moscow,Russia,DF,Centre-Back,21-25,24,5,0,1,1,0,510,7,0
Sergei Ignashevich,Russia,CSKA Moscow,Russia,DF,Centre-Back,36+,38,5,0,0,0,0,510,122,8
Andrei Semyonov,Russia,Akhmat Grozny,Russia,DF,Centre-Back,26-30,29,0,0,0,0,0,0,6,0
Denis Cheryshev,Russia,Villarreal CF,Spain,FW,Left Winger,26-30,27,5,4,0,0,0,304,11,0
